year,month,animal_type,intake_count
2020,5,Bird,5
2020,5,Cat,214
2020,5,Dog,238
2020,5,Other,26
2020,6,Bird,4
2020,6,Cat,405
2020,6,Dog,383
2020,6,Other,56
2020,7,Bird,2
2020,7,Cat,387
2020,7,Dog,338
2020,7,Other,53
2020,8,Bird,4
2020,8,Cat,378
2020,8,Dog,397
2020,8,Other,71
2020,9,Bird,8
2020,9,Cat,419
2020,9,Dog,406
2020,9,Other,39
2020,10,Bird,2
2020,10,Cat,390
2020,10,Dog,426
2020,10,Other,56
2020,11,Bird,6
2020,11,Cat,202
2020,11,Dog,418
2020,11,Livestock,1
2020,11,Other,50
2020,12,Bird,5
2020,12,Cat,180
2020,12,Dog,433
2020,12,Other,29
2021,1,Bird,6
2021,1,Cat,141
2021,1,Dog,372
2021,1,Other,48
2021,2,Bird,1
2021,2,Cat,93
2021,2,Dog,261
2021,2,Other,32
2021,3,Bird,2
2021,3,Cat,212
2021,3,Dog,431
2021,3,Other,88
2021,4,Bird,6
2021,4,Cat,381
2021,4,Dog,431
2021,4,Other,76
2021,5,Bird,5
2021,5,Cat,547
2021,5,Dog,470
2021,5,Other,39
2021,6,Bird,3
2021,6,Cat,647
2021,6,Dog,607
2021,6,Livestock,1
2021,6,Other,59
2021,7,Bird,7
2021,7,Cat,645
2021,7,Dog,650
2021,7,Other,46
2021,8,Bird,4
2021,8,Cat,575
2021,8,Dog,618
2021,8,Livestock,1
2021,8,Other,61
2021,9,Bird,5
2021,9,Cat,527
2021,9,Dog,601
2021,9,Other,72
2021,10,Bird,6
2021,10,Cat,616
2021,10,Dog,579
2021,10,Other,62
2021,11,Bird,5
2021,11,Cat,419
2021,11,Dog,564
2021,11,Other,29
2021,12,Bird,2
2021,12,Cat,310
2021,12,Dog,644
2021,12,Other,36
2022,1,Cat,263
2022,1,Dog,624
2022,1,Other,41
2022,2,Bird,5
2022,2,Cat,174
2022,2,Dog,503
2022,2,Other,42
2022,3,Bird,18
2022,3,Cat,267
2022,3,Dog,539
2022,3,Other,72
2022,4,Bird,8
2022,4,Cat,428
2022,4,Dog,573
2022,4,Other,58
2022,5,Bird,4
2022,5,Cat,746
2022,5,Dog,588
2022,5,Other,58
2022,6,Bird,12
2022,6,Cat,606
2022,6,Dog,567
2022,6,Other,61
2022,7,Bird,7
2022,7,Cat,461
2022,7,Dog,696
2022,7,Livestock,1
2022,7,Other,75
2022,8,Bird,5
2022,8,Cat,488
2022,8,Dog,619
2022,8,Other,55
2022,9,Bird,3
2022,9,Cat,311
2022,9,Dog,403
2022,9,Other,37
2022,10,Cat,328
2022,10,Dog,496
2022,10,Other,36
2022,11,Bird,47
2022,11,Cat,315
2022,11,Dog,441
2022,11,Other,34
2022,12,Bird,1
2022,12,Cat,300
2022,12,Dog,442
2022,12,Other,38
2023,1,Bird,6
2023,1,Cat,333
2023,1,Dog,482
2023,1,Other,37
2023,2,Bird,4
2023,2,Cat,230
2023,2,Dog,441
2023,2,Other,25
2023,3,Bird,3
2023,3,Cat,351
2023,3,Dog,534
2023,3,Livestock,1
2023,3,Other,111
2023,4,Bird,3
2023,4,Cat,539
2023,4,Dog,480
2023,4,Other,56
2023,5,Bird,2
2023,5,Cat,833
2023,5,Dog,498
2023,5,Other,43
2023,6,Bird,3
2023,6,Cat,563
2023,6,Dog,432
2023,6,Other,70
2023,7,Bird,4
2023,7,Cat,473
2023,7,Dog,342
2023,7,Other,39
2023,8,Bird,6
2023,8,Cat,586
2023,8,Dog,345
2023,8,Other,28
2023,9,Bird,1
2023,9,Cat,553
2023,9,Dog,349
2023,9,Other,23
2023,10,Bird,3
2023,10,Cat,526
2023,10,Dog,406
2023,10,Other,24
2023,11,Bird,3
2023,11,Cat,351
2023,11,Dog,374
2023,11,Other,32
2023,12,Bird,4
2023,12,Cat,263
2023,12,Dog,402
2023,12,Other,10
2024,1,Bird,1
2024,1,Cat,313
2024,1,Dog,436
2024,1,Other,35
2024,2,Bird,2
2024,2,Cat,343
2024,2,Dog,494
2024,2,Other,71
2024,3,Bird,9
2024,3,Cat,358
2024,3,Dog,487
2024,3,Livestock,1
2024,3,Other,52
2024,4,Bird,15
2024,4,Cat,638
2024,4,Dog,512
2024,4,Livestock,2
2024,4,Other,34
2024,5,Bird,8
2024,5,Cat,887
2024,5,Dog,512
2024,5,Other,32
2024,6,Bird,10
2024,6,Cat,598
2024,6,Dog,451
2024,6,Other,54
2024,7,Bird,9
2024,7,Cat,510
2024,7,Dog,379
2024,7,Other,33
2024,8,Bird,3
2024,8,Cat,490
2024,8,Dog,356
2024,8,Other,53
2024,9,Bird,5
2024,9,Cat,567
2024,9,Dog,394
2024,9,Livestock,1
2024,9,Other,29
2024,10,Bird,5
2024,10,Cat,586
2024,10,Dog,416
2024,10,Livestock,2
2024,10,Other,50
2024,11,Bird,5
2024,11,Cat,392
2024,11,Dog,328
2024,11,Livestock,1
2024,11,Other,34
2024,12,Bird,9
2024,12,Cat,365
2024,12,Dog,424
2024,12,Other,16
2025,1,Bird,3
2025,1,Cat,346
2025,1,Dog,481
2025,1,Other,22
2025,2,Bird,1
2025,2,Cat,330
2025,2,Dog,473
2025,2,Other,38
2025,3,Bird,4
2025,3,Cat,405
2025,3,Dog,471
2025,3,Other,76
2025,4,Bird,6
2025,4,Cat,525
2025,4,Dog,379
2025,4,Other,52
2025,5,Cat,65
2025,5,Dog,59
2025,5,Livestock,1
2025,5,Other,11
